"city","yrs_on_list","industry","url","state_s","revenue","state_l","metro","rank","company","growth","id","workers"
"Chicago","8","Real Estate","@properties","IL","123882403","Illinois","Chicago","2498","@Properties","152.1948","4136","100"
"Doraville","2","Business Products & Services","altair-sign-and-light","GA","2517135","Georgia","Atlanta","2499","Altair Sign and Light","151.8467","24165","17"
"Madison","1","IT Services","think-anew","MS","3356867","Mississippi","Jackson, MS","2500","Think Anew","151.7349","26305","22"
"St. Louis","1","Human Resources","professional-employment-group","MO","34283000","Missouri","St. Louis, MO-IL","2501","Professional Employment Group","151.7107","25817","1361"
"Studio City","2","Financial Services","advantage-capital-funds","CA","3823893","California","Los Angeles","2502","Advantage Capital Funds","151.6862","23436","10"
"Boise","1","Telecommunications","connect-wireless","ID","26220323","Idaho","Boise City-Nampa, ID","2503","Connect Wireless","151.568","25327","188"
"San Francisco","2","Business Products & Services","schox-patent-group","CA","2844955","California","San Francisco","2504","Schox Patent Group","151.5069","23728","6"
"Holbrook","2","Business Products & Services","workcompedi","NY","3908000","New York","New York City","2505","WorkCompEDI","151.3183","23911","15"
"Gurnee","8","Health","brightstar-care","IL","249062623","Illinois","Chicago","2506","BrightStar Care","151.2174","216","65"
"Waltham","4","Media","inkhouse","MA","6736359","Massachusetts","Boston","2507","InkHouse","150.9449","20944","45"
"Longview","2","Health","smiles-dental","WA","10407408","Washington","Longview, WA","2508","Smiles Dental","150.9022","23264","95"
"Baton Rouge","4","Environmental Services","resource-environmental-solutions","LA","28465000","Louisiana","Baton Rouge, LA","2509","Resource Environmental Solutions","150.6604","21969","46"
"South Bend","2","Health","senior1care","IN","3311000","Indiana","South Bend-Mishawaka, IN-MI","2510","Senior1Care","150.6435","23944","130"
"Houston","5","Food & Beverage","lasco-enterprises","TX","31292310","Texas","Houston","2511","Lasco Enterprises","150.5818","17693","518"
"Tulsa","1","Manufacturing","engatech","OK","5073216","Oklahoma","Tulsa, OK","2512","EngATech","150.5475","26394","9"
"Chicago","1","Advertising & Marketing","doejo","IL","2788502","Illinois","Chicago","2513","Doejo","150.5285","25268","24"
"West Palm Beach","1","Retail","marine-connection","FL","16755971","Florida","Miami","2514","Marine Connection","150.3591","25587","20"
"Los Angeles","3","Financial Services","growthink","CA","9628170","California","Los Angeles","2515","Growthink","150.0806","1040","35"
"Huntersville","4","Software","jackrabbit-technologies","NC","5314397","North Carolina","Charlotte","2516","Jackrabbit Technologies","150.0796","19702","30"
"Springfield","1","Advertising & Marketing","upward-brand-interactions","OH","3297226","Ohio","Springfield, OH","2517","Upward Brand Interactions","149.9864","26553","35"
"Austin","7","Energy","drilling-info","TX","67856000","Texas","Austin","2518","Drilling Info","149.9761","2588","472"
"Bedford","3","Human Resources","the-nagler-group","NH","6447907","New Hampshire","Manchester-Nashua, NH","2519","The Nagler Group","149.9254","21742","21"
"North Billerica","2","Construction","wl-french-excavating","MA","42438933","Massachusetts","Boston","2520","W.L. French Excavating","149.889","18952","110"
"Wayne","1","Logistics & Transportation","mavenwire","PA","11169583","Pennsylvania","Philadelphia","2521","MavenWire","149.8923","25057","48"
"Austin","1","Construction","container-management","TX","4833995","Texas","Austin","2522","Container Management","149.852","25233","12"
"Chicago","1","Advertising & Marketing","cdm-media","IL","17369224","Illinois","Chicago","2523","CDM Media","149.7818","26346","75"
"Beverly","1","Business Products & Services","masspay","MA","2006663","Massachusetts","Boston","2524","MassPay","149.7645","25053","21"
"New York","5","Human Resources","sterlingbackcheck","NY","246857000","New York","New York City","2525","SterlingBackcheck","149.744","20681","985"
"Miami","4","Telecommunications","callingmart","FL","23716000","Florida","Miami","2526","CallingMart","149.5896","19365","15"
"Elgin","1","Computer Hardware","tech-global","IL","6077366","Illinois","Chicago","2527","Tech Global","149.5773","26465","12"
"Bastrop","1","Consumer Products & Services","new-york-nutrition-company","TX","2122296","Texas","Austin","2528","New York Nutrition Company","149.4245","25015","6"
"Cincinnati","4","Health","biorx","OH","202451000","Ohio","Cincinnati","2529","BioRx","149.2993","21785","150"
"Minneapolis","3","Business Products & Services","middel-consulting","MN","7888914","Minnesota","Minneapolis","2530","MidDel Consulting","149.1339","22135","31"
